BENCHMARK STARTED
1539953467.438262 53
1539953467.964076 54
1539953468.390764 54
1539953468.800538 53
1539953469.289174 54
1539953469.721144 54
1539953470.128250 53
1539953470.535505 54
1539953470.971605 54
1539953471.391199 54
1539953471.807734 53
1539953472.210792 53
1539953472.694359 54
1539953473.126400 54
1539953473.539160 54
1539953473.951807 54
1539953474.403225 53
1539953474.814041 54
1539953475.230456 54
1539953475.639918 54
1539953476.090916 54
1539953476.506545 54
1539953476.929243 54
1539953477.339262 55
1539953477.827918 53
1539953478.246911 54
1539953478.662918 53
1539953479.069964 54
1539953479.552049 54
1539953479.968192 54
1539953480.391305 53
1539953480.797649 54
1539953481.245245 54
1539953481.652134 54
1539953482.060161 54
1539953482.475127 54
1539953482.890697 54
1539953483.301001 54
1539953483.707910 54
1539953484.112563 54
1539953484.529512 54
1539953484.945623 54
1539953485.356378 54
1539953485.826310 54
1539953486.260677 54
1539953486.674741 54
1539953487.081595 54
1539953487.521567 54
1539953487.941073 54
1539953488.357564 54
1539953488.774645 54
1539953489.214039 54
1539953489.625204 54
1539953490.042349 53
1539953490.460816 54
1539953490.911472 54
1539953491.325444 54
1539953491.741754 54
1539953492.151005 54
1539953492.601191 54
1539953493.013086 54
1539953493.441071 54
1539953493.849705 54
1539953494.298295 54
1539953494.709608 54
1539953495.124530 53
1539953495.535762 54
1539953496.014669 54
1539953496.433702 54
1539953496.851256 54
1539953497.269350 54
1539953497.746097 53
1539953498.179947 54
1539953498.594062 54
1539953499.010500 54
1539953499.488912 54
1539953499.924098 54
1539953500.342443 54
1539953500.752475 54
1539953501.203429 54
1539953501.633057 54
1539953502.049445 54
1539953502.465907 54
1539953502.941575 54
1539953503.349704 54
1539953503.769690 54
1539953504.175214 54
1539953504.632215 54
1539953505.040600 54
1539953505.461644 54
1539953505.875039 54
1539953506.292859 54
1539953506.704487 54
1539953507.112757 54
1539953507.521029 54
1539953507.939004 54
1539953508.352914 54
1539953508.767721 54
1539953509.225670 54
1539953509.662220 54
1539953510.083528 54
1539953510.500386 54
1539953510.993850 54
1539953511.437617 54
1539953511.854075 54
1539953512.272545 54
1539953512.755575 53
1539953513.184574 54
1539953513.600816 54
1539953514.011742 54
1539953514.507554 54
1539953514.924613 54
1539953515.342033 53
1539953515.754342 54
1539953516.205737 55
1539953516.618725 54
1539953517.029298 54
1539953517.443666 54
1539953517.856320 54
1539953518.275643 54
1539953518.683942 54
1539953519.098258 54
1539953519.530368 54
1539953519.948521 54
1539953520.357639 54
1539953520.801752 54
1539953521.216624 54
1539953521.627440 54
1539953522.051424 54
1539953522.534779 54
1539953522.977184 54
1539953523.400570 54
1539953523.805326 54
1539953524.275323 54
1539953524.686880 54
1539953525.100881 54
1539953525.514039 54
1539953525.952363 54
1539953526.360308 54
1539953526.783385 54
1539953527.190105 54
1539953527.674963 54
1539953528.101137 54
1539953528.521010 54
1539953528.935837 54
1539953529.417149 55
1539953529.820787 54
1539953530.237710 54
1539953530.646630 54
1539953531.067477 54
1539953531.489183 54
1539953531.911394 54
1539953532.322104 54
1539953532.768995 54
1539953533.182690 54
1539953533.602594 54
1539953534.018668 54
1539953534.506059 54
1539953534.926338 54
1539953535.340929 54
1539953535.748167 54
1539953536.209607 54
1539953536.618294 54
1539953537.028484 54
