BENCHMARK STARTED
1539957130.395084 54
1539957130.808933 53
1539957131.251914 54
1539957131.663844 54
1539957132.084540 54
1539957132.499352 54
1539957132.981273 54
1539957133.409259 54
1539957133.826418 54
1539957134.240638 54
1539957134.678385 53
1539957135.098568 54
1539957135.515526 53
1539957135.928401 54
1539957136.347991 54
1539957136.755256 54
1539957137.170310 54
1539957137.588202 54
1539957138.045540 54
1539957138.460563 54
1539957138.874855 54
1539957139.285691 54
1539957139.738769 54
1539957140.151827 54
1539957140.571386 54
1539957140.988076 54
1539957141.409172 54
1539957141.820888 54
1539957142.234001 54
1539957142.644979 54
1539957143.065487 54
1539957143.481949 54
1539957143.893505 54
1539957144.336812 54
1539957144.782437 54
1539957145.198496 54
1539957145.613604 54
1539957146.074920 54
1539957146.499126 54
1539957146.915064 54
1539957147.324505 55
1539957147.805679 54
1539957148.236428 54
1539957148.653820 54
1539957149.073645 54
1539957149.564182 54
1539957150.013163 54
1539957150.434539 54
1539957150.846664 54
1539957151.325051 54
1539957151.736692 54
1539957152.162804 54
1539957152.577588 54
1539957153.019929 54
1539957153.433117 54
1539957153.844390 54
1539957154.253717 55
1539957154.664398 54
1539957155.080552 54
1539957155.497518 54
1539957155.908714 54
1539957156.341784 54
1539957156.758309 54
1539957157.165645 54
1539957157.643073 54
1539957158.089648 55
1539957158.509593 54
1539957158.921941 54
1539957159.416007 54
1539957159.851388 54
1539957160.271260 54
1539957160.678679 54
1539957161.156284 54
1539957161.581695 54
1539957162.003699 54
1539957162.416655 54
1539957162.895200 54
1539957163.330324 54
1539957163.751692 54
1539957164.162985 54
1539957164.596429 54
1539957165.015707 54
1539957165.431208 55
1539957165.841420 54
1539957166.301543 54
1539957166.714112 54
1539957167.128177 54
1539957167.545186 55
1539957167.956296 55
1539957168.388199 54
1539957168.806323 54
1539957169.215219 54
1539957169.641584 54
1539957170.056282 54
1539957170.473446 54
1539957170.943210 54
1539957171.379504 54
1539957171.800568 54
1539957172.210498 54
1539957172.703519 55
1539957173.132632 54
1539957173.557607 54
1539957173.972980 54
1539957174.462847 54
1539957174.900792 54
1539957175.321840 54
1539957175.734567 54
1539957176.185617 54
1539957176.606527 54
1539957177.025554 54
1539957177.439885 54
1539957177.894005 54
1539957178.308096 54
1539957178.720215 54
1539957179.130926 54
1539957179.554065 54
1539957179.975613 54
1539957180.391695 54
1539957180.803080 54
1539957181.239662 54
1539957181.652793 54
1539957182.072982 54
1539957182.546056 54
1539957182.985806 54
1539957183.404161 54
1539957183.816159 54
1539957184.261654 54
1539957184.674261 54
1539957185.105234 54
1539957185.523133 54
1539957185.966306 54
1539957186.387664 54
1539957186.807687 54
1539957187.218306 54
1539957187.695900 55
1539957188.132391 54
1539957188.562505 54
1539957188.979880 55
1539957189.463133 54
1539957189.883359 54
1539957190.295216 54
1539957190.704318 54
1539957191.165771 54
1539957191.585485 54
1539957192.002644 54
1539957192.416649 55
1539957192.863671 54
1539957193.276677 55
1539957193.689865 54
1539957194.104541 55
1539957194.523711 54
1539957194.937949 54
1539957195.345257 54
1539957195.767568 54
1539957196.190331 54
1539957196.603167 54
1539957197.021246 54
1539957197.462804 54
1539957197.879499 54
1539957198.290356 54
1539957198.714795 54
1539957199.170053 55
1539957199.589605 54
1539957200.015951 54
1539957200.429455 54
1539957200.913077 54
1539957201.352094 54
1539957201.775977 54
1539957202.184159 55
1539957202.635179 54
1539957203.055266 55
1539957203.481934 54
1539957203.893095 54
1539957204.371602 54
1539957204.789172 54
1539957205.209400 55
1539957205.619399 54
1539957206.060871 54
1539957206.480973 54
1539957206.898058 54
1539957207.308660 54
1539957207.723535 54
1539957208.138025 54
1539957208.555645 54
1539957208.987791 54
1539957209.413486 54
1539957209.824892 54
1539957210.245220 54
1539957210.683576 54
1539957211.106442 54
1539957211.533784 54
1539957211.942151 54
1539957212.424238 54
1539957212.839334 54
1539957213.255805 54
1539957213.671302 54
1539957214.164111 55
1539957214.607576 54
1539957215.034067 54
1539957215.440880 54
1539957215.891779 54
1539957216.309611 54
1539957216.726596 54
1539957217.141146 54
1539957217.601244 54
1539957218.013132 54
1539957218.424069 54
1539957218.838602 54
1539957219.253671 54
1539957219.667525 54
1539957220.087980 54
1539957220.516209 54
1539957220.952307 54
1539957221.372362 54
1539957221.793067 54
1539957222.273028 54
1539957222.716456 54
1539957223.139093 54
1539957223.560211 54
1539957224.018588 54
1539957224.445228 54
1539957224.870267 54
1539957225.281384 54
1539957225.722583 54
1539957226.135927 54
1539957226.563405 54
1539957226.981460 54
1539957227.422835 54
1539957227.835318 54
1539957228.253699 54
1539957228.676309 54
1539957229.125364 54
1539957229.544567 54
1539957229.956590 54
1539957230.375820 54
1539957230.794020 54
1539957231.206838 54
1539957231.621474 54
1539957232.065284 54
1539957232.502240 54
1539957232.925693 54
1539957233.340578 54
1539957233.766437 54
1539957234.180884 54
1539957234.607899 54
1539957235.026315 54
1539957235.481528 54
1539957235.896607 54
1539957236.318027 54
1539957236.730260 54
1539957237.190905 54
1539957237.611269 54
1539957238.037672 55
1539957238.451957 54
1539957238.931766 54
1539957239.349219 54
1539957239.768450 54
